Title,Year,Mileage/Km,Price,Brand
Mercedes-Benz B-Class B180,2014,92000,22800,Mercedes-Benz
Toyota Hiace 2.8A DX,2019,83000,81800,Toyota
Isuzu NHR87A,2019,80000,74800,Isuzu
Hyundai Avante 1.6A S,2020,71000,95800,Hyundai
Lexus ES250 Luxury Sunroof,2019,93000,154800,Lexus
Mercedes-Benz GLA-Class GLA200 AMG Line Premium,2022,15000,207777,Mercedes-Benz
Isuzu NPR75,2016,51443,42800,Isuzu
BMW 4 Series 420i Coupe M-Sport,2021,25223,196800,BMW
Lamborghini Aventador LP700-4 (COE till 12/2031),2012,40000,559555,Lamborghini
Porsche 911 Carrera 3.0A PDK,2017,23800,338000,Porsche
BMW X3 sDrive20i,2017,115093,99988,BMW
BMW 3 Series 320i Convertible (COE till 08/2030),2010,168000,83800,BMW
BMW 2 Series 216i Gran Tourer,2019,89445,123800,BMW
Mercedes-Benz CLA-Class CLA200 (New 5-yr COE),2014,121911,95000,Mercedes-Benz
Porsche Panamera 4S 4.8A PDK (COE till 08/2030),2010,77990,139800,Porsche
Lexus NX Hybrid NX300h Luxury Sunroof,2019,53000,148000,Lexus
Lexus UX200 Luxury,2020,40500,155800,Lexus
Volkswagen Polo 1.0A TSI Comfortline Beats,2020,22000,96800,Volkswagen
Mercedes-Benz GLA-Class GLA180 Urban Edition,2018,70000,91888,Mercedes-Benz
BMW 5 Series 520d M-Sport,2017,92000,131888,BMW
Nissan Note 1.2A,2018,90000,53800,Nissan
Mazda 3 1.5A Deluxe Sunroof,2017,85000,53800,Mazda
BMW 3 Series 335i Coupe Sunroof (COE till 04/2028),2008,116800,71888,BMW
Toyota Wish 1.8A X,2017,81000,61800,Toyota
Toyota Vellfire 2.5A Elegance Moonroof,2019,65488,198800,Toyota
BMW 4 Series 428i Coupe Sunroof,2015,93301,62988,BMW
Mercedes-Benz CLA-Class CLA200 Progressive,2020,48000,155800,Mercedes-Benz
Kia Carens Diesel 1.7A SX,2018,120000,74800,Kia
Toyota Vios 1.5A E,2018,48529,78800,Toyota
Toyota Vellfire 2.5A Elegance Sunroof,2017,113000,132800,Toyota
BMW 2 Series 216i Active Tourer,2018,101950,99800,BMW
Mazda Biante 2.0A,2017,83000,71800,Mazda
Nissan Note 1.2A,2018,89133,60500,Nissan
Audi Q5 2.0A TFSI Quattro,2016,83000,92800,Audi
Toyota Camry 2.0A (COE till 04/2029),2009,150000,61888,Toyota
Mercedes-Benz A-Class A200 Style,2017,116000,79800,Mercedes-Benz
Subaru Forester 2.0i-L EyeSight Sunroof,2019,135700,102000,Subaru
Mercedes-Benz GLA-Class GLA180 Urban Edition,2020,45000,134800,Mercedes-Benz
Mazda 3 1.5A,2015,83000,24800,Mazda
Mazda 6 2.0A Executive,2018,74968,76988,Mazda
Mercedes-Benz E-Class E200 Avantgarde,2018,98000,153800,Mercedes-Benz
Citroen Grand C4 Picasso 1.2A PureTech,2018,83000,81800,Citroen
